notice;chaine;Année de date_diffusion;Année de decennie;public_groupe;mediamat_groupe;genre_groupe;duree;resume
287645.044;Direct 8;2011;2010;Participation du public à distance;Culture connaissance;Magazine;01:08:10:00;"[Source TNS media intelligence ] : 
Sommaire.
La chronique de Laurent Artufel. Les mails des téléspectateurs.  
18:53:45 Le zapping de Pierre Bourdin Sauviac.  
18:53:47  Extrait du JT de 20h de France 2.  
18:54:17  Extrait du JT de 20h de TF1.  
18:54:54  Extrait de Telematin sur France 2.  
18:55:20  Extrait de C'est au Programme sur France 2.  
18:55:52  Extrait de Belle Toute Nue sur M6.  
18:56:09  Extrait du 12 45 sur M6.  
18:56:34  Extrait de Comment ça va bien sur France 2.  
18:57:00 Extrait de Les Z'Amours sur France 2.  
18:57:09  Extrait de Une Famille en Or sur TF1.  
18:57:41  Extrait de Un Diner Presque Parfait sur M6.  
18:58:31  Extrait de 100% Mag sur M6.  
18:58:56 Retour plateau. Les derniers news avec L. Artufel. Le site Le Post a été condamné à la demande de Flavie Flament, pour avoir annoncé sa mort pendant plusieurs minutes.  
18:59:44 Robert de Niro sera le président du jury du prochain festival de Cannes.  
19: 00:33  Cameron Diaz sera l'invitée de Nikos demain sur le 6-9.  
19:01:33  L' avis du public. Céline a regardé Grey's Anatomy hier soir, tout comme Loïc. 
19:02:12  Les audiences avec Céline Hirsch. Carton du jour pour Grey's Anatomy sur TF1.  
19:02:29  Cata du jour pour France 2 avec ""Les Faux Monnayeurs"", avec seulement 1,9 millions de téléspectateurs.  
19:02:43  Perf du Jour pour ""Un Diner presque parfait sur M6"". 
19:03:00  A suivre.
La chronique de Rodolphe de Laboulaye. Vidéos de la télévision américaine. 
19:10:08  Hier soir, en direct sur Europe 1, Jean-Luc Mélenchon était l' invité de Nicolas Demorand.  
19:10:22  Extrait du Clash.  
19:11:49 Retour plateau. Invités : Igor et Grichka Bogdanov, qui publient ""Le visage de Dieu"" chez Grasset. Le livre a été longtemps dans les meilleures ventes.
Publicité.
Invités : Igor et Grichka Bogdanov, qui publient ""Le visage de Dieu"" chez Grasset. Ils présenteront ce soir un documentaire consacré aux Ovnis, ""Entre réalité et fiction"", sur France 2. 
19:21:16  Extrait de l'émission, avec l' interview d'un ancien pilote de chasse sur Mirage 3.  
19:23:01 Retour plateau. Il s'agit d'un témoignage important et crédible pour les frères Bogdanov, car il est vérifié par les radars.  
19:23:39  L'émission est coproduite par le CNES.  
19:24:29  Extrait d'une émission de Direct 8 sur les Ovnis.  
19:26:12 Retour plateau. Pour les invités, une forme de vie existe incontestablement ailleurs.   
19:27:36 Reportage sur les invités de Dorian Chotard. Depuis plus de 30 ans, les jumeaux Bogdanov sont incontournables pour parler de science à la télévision, mais certains scientifiques remettent en cause leurs connaissance.  
19:28:48 Interview de Sylvestre Huet, journaliste scientifique à Libération. Des scientifiques remettent en cause l'intérêt de leurs thèses. En 2002, le Monde évoquait déjà la réputation scientifique contestée des jumeaux. En 2004, le magazine Ciel et Espace dénonçait une ""Mystification"".  
19:31:11 Retour plateau. Selon les invités, le journaliste de Libération dit des choses ""fausses"" : selon eux, ils ont arrêté leur démarche juridique contre Ciel et Espace à la demande de leur directeur de thèse.
Invités : Igor et Grichka Bogdanov, qui publient ""Le visage de Dieu"" chez Grasset. Des journalistes d'Envoyé Spécial ont réussi à faire rentrer dans des avions de ligne des pistolets.  
19:34:15  Extrait du reportage diffusé ce soir sur France 2. A Roissy, des journalistes font entrer un pistolet semi automatique démonté. A Marseille, les agents de sécurité ne découvrent pas non plus les pièces du pistolet.  
19:36:06 Retour plateau. Invité : Eric Colomer, rédacteur en chef à Ligne de Mire, auteur de l'enquête. Lors de l' enquête, les agents de sécurité l'ont empêché de monter avec sa bouteille d' eau, sans repérer le pistolet 9mm. L'an dernier, 3000 agents de sûreté aéroportuaire ont été formés en 14 jours, et n'ont jamais vu la couleur d' une arme, d'un explosif, et encore moins d'un pistolet démonté.  
19:37:59 Des tests sont réalisés toute l'année, par le ministère des transports, par la police de l'air et des frontières, qui ne sont pas concluants. Les journalistes auraient pu craindre une arrestation, une garde à vue prolongée,  et peut être des poursuites du ministère public pour atteinte à la sécurité publique.  
19:41:09  Les News avec Céline Hirsch. MTV va faire une émission spéciale ""Pimp mon tracteur"", dans le cadre d'une opération de communication pour un hamburger fermier.  
19:41:43  Arte va soulever la polémique : le 25 janvier prochain la chaîne diffusera le documentaire Noir sur Blanc, dans lequel un journaliste blanc se glisse un an dans la peau d'un émigré somalien.  
19:42:19  NT1 lance le 10 janvier ""Ma vie à la Télé"", émission consacrée aux personnalités marquantes issues des émissions de télé.  
19:43: 05  France 3 continue la diffusion de sa série documentaire ""Deshabillez nous"", sur l'amour au boulot.  
19:43:32 Retour plateau.  
19:43:41  La chronique d'Ariane Brodier.
Invités : Igor et Grichka Bogdanov, qui publient ""Le visage de Dieu"" chez Grasset. Election du pire animateur de téléréalité en 2010.  
19:46:04 Depuis hier, des photos d'Emmanuel Moire nu circulent sur le net.  
19:46:37 Reportage d'Aurélie Martelli. Aujourd'hui, se déshabiller sur internet pour buzzer est devenu un grand classique. Romain Mesnil, pour retrouver un sponsor, n'avait pas hésité à se déshabiller. Allan Theo s'est mis en scène dans un clip dénudé.  
19:47:33  Lucie, ancienne de la Star Academy, se déshabille entièrement dans son dernier clip. 
19:47:56  Jerem Star se met toujours nu. Laure Manaudou avait été victime d'un ancien petit ami mal intentionné. Vanessa Huygens, Miley Cyrus Rihanna ou Kim Kardashian ont aussi été exposées sur internet.  
19:48:46  Les vidéos de Pamela Anderson, Paris Hilton et Britney Spears ont été diffusées, ainsi que celles de Eric Dayne ou Colin Farrell.  
19:49:17 Retour plateau. Invité : Stéphane Clerget, pédopsychiatre, auteur de ""Osez vous faire respecter"". Internet a changé le rapport à la nudité, et S. Clerget regrette une ""banalisation"" de la nudité.  
19:50:54  Extrait d'une enquête de Direct 8 sur la nudité chez les ados. 
19:52:26 Retour plateau."
307491.001;Gulli;2011;2010;Programme jeunesse;Fiction;Animation;00:03:00:00;"SITUATION DRAMMATIQUE
.- Les Gees, ces gentils extraterrestres très maladroits, vont parcourir le monde (l'Egypte, l'Italie, le désert, la banquise, le Kremlin, les Alpes, la Maison Blanche, le Canada, la France...). Les humains, d'abord heureux de connaître des personnes d'une autre planète, vont vite déchanter face aux catastrophes engendrées par ces petites créatures débordant de bonne humeur.

LES PERSONNAGES :
Les trois Gees :
.- G Girl : vue sur terre en 2009, originaire de la planète Gee, mesure 75 cm et est une tête brûlée. Elle est rouge. Ggirl est une extra-terrestre très attachante et pleine de vie, mais son enthousiasme permanent devient vite très, très fatigant. Quel que soit le contexte, quelle que soit la situation, G-girl trouve toujours les moyens de s'amuser. Et il faut que ça aille vite, car elle aime les sensations fortes !

.- G Cat : vu sur terre en 2009, originaire de la planète GEE et mesure 60 cm. Il est jaune. Il a des moustaches et des oreilles de chat. C'est certainement pour ça que tout le monde l'appelle G-cat. Cet extra-terrestre, contrairement à G-Boy, adore les humains et son occupation préférée est d'observer et d'imiter leur comportement. Mais même si il ressemble à un chat G-cat est un extra-terrestre sans bouche, et il se fait donc comprendre par les gestes !

.- G Boy : vu sur terre en 2009, originaire de la planète GEE et mesure 85 cm. Il est bleu. Tous ceux qui le connaissent disent de lui qu'il s'intéresse plus aux machines qu'aux être humains. G-boy aime les accessoires, outils, jouets et machines en tous genres. Il adore les toucher, les manipuler et les transformer. Lorsque G-boy a rencontré Miss Monde, il n'a pas été subjugué par sa beauté mais par les lettres dorées de son écharpe et à son téléphone portable. Elle l'a même traité de Geek 

Et seize humains :
.- Walter Straton
.- Patrick Parker 
.- Massimo Plata
.- Olympia Myrtakis
.- Chugiak Iglopuk
.- Colorado Johnson
.- Peter Larondelle
.- Amenhotep El Dawa
.- Julius Kramp
.- PAtrick Parker
.- Roberto Cruso
.- Maria Aguila
.- Lothar Newton
.- Kim Gil Su
.- Angela Spieler
.- Liu Sheng Yang
.- Françoise Rose"
319789.052;Gulli;2011;2010;Programme jeunesse;Fiction;Animation;00:09:45:00;"[Source iMedia]
Ayant perdu un vaisseau spatial extraterrestre, messieurs Black et White supplient Susan et Mary de leur donner celui qu'elles viennent tout juste de construire..."
320809.020;Gulli;2011;2010;Programme jeunesse;Fiction;Animation;00:21:21:00;"[Source iMedia]
Aux Etats-Unis, Dan et son nouveau camarade Jake se rendent à l'Hyper-Espace Bakugan, créé par Marucho, un lieu où les enfants du monde entier viennent combattre virtuellement. Là, ils se retrouvent au coeur d'un conflit opposant deux factions extraterrestres. Dan et Jake doivent aider les Protecteurs gundaliens à vaincre des Dark Bakugan et des Douze ordres, qui attaquent la paisible planète Neathia, et désormais la Terre. En effet, ils cherchent à y entrer par la réalité virtuelle de l'Hyper-Espace Bakugan."
321295.020;Gulli;2011;2010;Programme jeunesse;Fiction;Animation;00:21:22:00;"[Source iMedia]
Aux Etats-Unis, Dan et son nouveau camarade Jake se rendent à l'Hyper-Espace Bakugan, créé par Marucho, un lieu où les enfants du monde entier viennent combattre virtuellement. Là, ils se retrouvent au coeur d'un conflit opposant deux factions extraterrestres. Dan et Jake doivent aider les Protecteurs gundaliens à vaincre des Dark Bakugan et des Douze ordres, qui attaquent la paisible planète Neathia, et désormais la Terre. En effet, ils cherchent à y entrer par la réalité virtuelle de l'Hyper-Espace Bakugan."
321953.001;Canal + Family;2009;2000;Programme jeunesse;Fiction;Animation;00:05:00:00;"SITUATION DRAMATIQUE : 
Coda l'extraterrestre échoue sur Terre suite à un accident de soucoupe volante. Chaque épisode est prétexte à lui faire subir de violentes mésaventures, situées dans des lieux distincts et des périodes différentes de l'histoire de l'évolution.
Il provoque, volontairement ou non, des évènements qui sont autant d'étapes décisives dans l'histoire de l'humanité ( découverte du feu ... ), sorte d'illustration comique de la théorie des anciens astronautes.
Les nombreux gags burlesques se terminent souvent de façon tragi-comique : Coda meurt pour renaître aussitôt, dans un passé récent de l'épisode, signalé à l'image par une spirale graphique et un rapide rembobinage.
Scénarios sans dialogue ni voix off, les personnages s'exprimant par borborygmes et onomatopées."
323357.007;NRJ 12;2011;2010;Programme jeunesse;Fiction;Animation;00:27:42:00;"[Source iMedia]
Fry, un livreur de pizza new-yorkais, se réveille en 2999 après avoir été cryogénisé durant un millénaire. Il tente de prendre un nouveau départ.
Fry, un livreur de pizza new-yorkais, se réveille en 2999 après avoir été accidentellement cryogénisé durant un millénaire. Il tente de prendre un nouveau départ, dans un environnement peuplé d'extraterrestres et de robots."
332309.006;NRJ 12;2012;2010;Programme jeunesse;Fiction;Animation;00:22:06:00;"[Source iMedia]
Fry, un livreur de pizza new-yorkais, se réveille en 2999 après avoir été cryogénisé durant un millénaire. Il tente de prendre un nouveau départ.
Fry, un livreur de pizza new-yorkais, se réveille en 2999 après avoir été accidentellement cryogénisé durant un millénaire. Il tente de prendre un nouveau départ, dans un environnement peuplé d'extraterrestres et de robots."
336453.020;France O;2012;2010;Programme jeunesse;Fiction;Animation;00:05:00:00;"[Source iMedia]
Linus pense que les aliens ne sont pas tous méchants. En compagnie de Boom, un énorme colosse rouge tombé de l'espace, il va tenter de sauver les extraterrestres."
336735.018;France O;2012;2010;Programme jeunesse;Fiction;Animation;00:05:00:00;"[Source iMedia]
Linus pense que les aliens ne sont pas tous méchants. En compagnie de Boom, un énorme colosse rouge tombé de l'espace, il va tenter de sauver les extraterrestres."
337967.005;NRJ 12;2012;2010;Programme jeunesse;Fiction;Animation;00:24:35:00;"[Source iMedia]
Fry, un livreur de pizza new-yorkais, se réveille en 2999 après avoir été cryogénisé durant un millénaire. Il tente de prendre un nouveau départ.
Fry, un livreur de pizza new-yorkais, se réveille en 2999 après avoir été accidentellement cryogénisé durant un millénaire. Il tente de prendre un nouveau départ, dans un environnement peuplé d'extraterrestres et de robots."
338089.005;NRJ 12;2012;2010;Programme jeunesse;Fiction;Animation;00:25:04:00;"[Source iMedia]
Fry, un livreur de pizza new-yorkais, se réveille en 2999 après avoir été cryogénisé durant un millénaire. Il tente de prendre un nouveau départ.
Fry, un livreur de pizza new-yorkais, se réveille en 2999 après avoir été accidentellement cryogénisé durant un millénaire. Il tente de prendre un nouveau départ, dans un environnement peuplé d'extraterrestres et de robots."
338353.005;NRJ 12;2012;2010;Programme jeunesse;Fiction;Animation;00:24:28:00;"[Source iMedia]
Fry, un livreur de pizza new-yorkais, se réveille en 2999 après avoir été cryogénisé durant un millénaire. Il tente de prendre un nouveau départ.
Fry, un livreur de pizza new-yorkais, se réveille en 2999 après avoir été accidentellement cryogénisé durant un millénaire. Il tente de prendre un nouveau départ, dans un environnement peuplé d'extraterrestres et de robots."
338695.008;NRJ 12;2012;2010;Programme jeunesse;Fiction;Animation;00:23:40:00;"[Source iMedia]
Fry, un livreur de pizza new-yorkais, se réveille en 2999 après avoir été accidentellement cryogénisé durant un millénaire. Il tente de prendre un nouveau départ, dans un environnement peuplé d'extraterrestres et de robots."
338807.008;NRJ 12;2012;2010;Programme jeunesse;Fiction;Animation;00:23:52:00;"[Source iMedia]
Fry, un livreur de pizza new-yorkais, se réveille en 2999 après avoir été accidentellement cryogénisé durant un millénaire. Il tente de prendre un nouveau départ, dans un environnement peuplé d'extraterrestres et de robots."
338807.029;NRJ 12;2012;2010;Programme jeunesse;Fiction;Animation;00:24:09:00;"[Source iMedia]
Fry, un livreur de pizza new-yorkais, se réveille en 2999 après avoir été accidentellement cryogénisé durant un millénaire. Il tente de prendre un nouveau départ, dans un environnement peuplé d'extraterrestres et de robots."
340463.007;NRJ 12;2012;2010;Programme jeunesse;Fiction;Animation;00:23:52:00;"[Source iMedia]
Fry, un livreur de pizza new-yorkais, se réveille en 2999 après avoir été accidentellement cryogénisé durant un millénaire. Il tente de prendre un nouveau départ, dans un environnement peuplé d'extraterrestres et de robots."
340463.008;NRJ 12;2012;2010;Programme jeunesse;Fiction;Animation;00:23:53:00;"[Source iMedia]
Bender est témoin d'un crime commis par Don Bot. Bender est alors placé jusqu'au procès, dans une autre ville par le programme de protection des témoins. Don Bot est remplacé au Planet Express par le robot au pinces de la mafia pour retrouver Bender...

[Source iMedia]
Fry, un livreur de pizza new-yorkais, se réveille en 2999 après avoir été accidentellement cryogénisé durant un millénaire. Il tente de prendre un nouveau départ, dans un environnement peuplé d'extraterrestres et de robots."
340729.007;NRJ 12;2012;2010;Programme jeunesse;Fiction;Animation;00:23:34:00;"[Source iMedia]
Fry, un livreur de pizza new-yorkais, se réveille en 2999 après avoir été accidentellement cryogénisé durant un millénaire. Il tente de prendre un nouveau départ, dans un environnement peuplé d'extraterrestres et de robots."
340923.006;NRJ 12;2012;2010;Programme jeunesse;Fiction;Animation;00:23:52:00;"[Source iMedia]
L'équipage se voit confier la mission de ramener sur Terre une statue en hommage à la première équipe de livraison de Planet Express, mystérieusement disparue dans le tétraèdre des Bermudes. Mais lors du retour, l'obsession de Leela à tuer une mystérieuse baleine de l'espace va les conduire à leur perte...

[Source iMedia]
Fry, un livreur de pizza new-yorkais, se réveille en 2999 après avoir été cryogénisé durant un millénaire. Il tente de prendre un nouveau départ.
Fry, un livreur de pizza new-yorkais, se réveille en 2999 après avoir été accidentellement cryogénisé durant un millénaire. Il tente de prendre un nouveau départ, dans un environnement peuplé d'extraterrestres et de robots."
340923.007;NRJ 12;2012;2010;Programme jeunesse;Fiction;Animation;00:24:30:00;"[Source iMedia]
Fry, un livreur de pizza new-yorkais, se réveille en 2999 après avoir été cryogénisé durant un millénaire. Il tente de prendre un nouveau départ.
Fry, un livreur de pizza new-yorkais, se réveille en 2999 après avoir été accidentellement cryogénisé durant un millénaire. Il tente de prendre un nouveau départ, dans un environnement peuplé d'extraterrestres et de robots.

[Source iMedia]
Fry trouve un monstre sur une planète qu'il va élever et renvoyer ensuite sur sa planète d'origine pour la repeupler..."
341063.006;NRJ 12;2012;2010;Programme jeunesse;Fiction;Animation;00:23:55:00;"[Source iMedia]
Fry, un livreur de pizza new-yorkais, se réveille en 2999 après avoir été cryogénisé durant un millénaire. Il tente de prendre un nouveau départ.
Fry, un livreur de pizza new-yorkais, se réveille en 2999 après avoir été accidentellement cryogénisé durant un millénaire. Il tente de prendre un nouveau départ, dans un environnement peuplé d'extraterrestres et de robots."
